Emanuel, Walsh, 4363952425223182, 1357, 2011.49, 1058.00
Troy, Armstrong, 4175321458520419, 7665, 191.73, 7922.07
Ana, Stone, 4354665956820785, 9140, 1841.05, 7071.21
Dwayne, Neal, 5528870152787139, 9189, 2101.89, 6492.98
Vicky, Roberts, 5517325937254783, 9970, 1207.76, 216.09
Caleb, Love, 5180262978636907, 6005, 649.97, 8250.43
Jo, Ellis, 5469771207474205, 4150, 504.01, 4450.85
Hope, Ross, 5526751424951111, 5686, 1879.30, 476.29
Susie, Gill, 5284457284473111, 1980, 182.21, 7891.16
Gordon, Douglas, 5177290836948995, 1733, 704.25, 5285.73
